path,task,label,event_idx,view_idx,split
C:\Users\Yannick\data\soccer\EventClasses\freekick\Uruguay v Portugal - 2018 FIFA World Cup Russia™ - Match 49 0991.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\16 Yellow Cards and 4 Red Cards in a Single Game 0745.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 2 03714.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 01847.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 2 06290.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 28613.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 26126.jpg,event,goal,3,-1,test
C:\Users\Yannick\data\soccer\EventClasses\freekick\Top 10 Free Kick Takers in Football 2016 17 01951.jpg,event,freekick,1,-1,test
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\France v Croatia - 2018 FIFA World Cup™ FINAL - HIGHLIGHTS 1910.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\Spain v Russia - 2018 FIFA World Cup Russia™ - Match 51 1605.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 1 06412.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 9022.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 03122.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 2 10233.jpg,event,playercelebration,5,-1,test
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\Top 15 Most Shocking Reactions To Red Card in Football 00315.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\France v Croatia - 2018 FIFA World Cup™ FINAL - HIGHLIGHTS 0999.jpg,event,gattempts,2,-1,val
C:\Users\Yannick\data\soccer\EventClasses\spectator\Uruguay v Portugal - 2018 FIFA World Cup Russia™ - Match 49 0074.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 2 13857.jpg,event,playercelebration,5,-1,test
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 21997.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\Top 20 Famous Red Cards In Football 10953.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\Uruguay v Portugal - 2018 FIFA World Cup Russia™ - Match 49 0681.jpg,event,playercelebration,5,-1,val
C:\Users\Yannick\data\soccer\EventClasses\offside\How Offside Works in Soccer 0516.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 1 06404.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 08056.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 8463.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 8495.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\World Cup 2018  All 19 Corner Kick Goals 3971.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\Croatia v Denmark - 2018 FIFA World Cup Russia™ - Match 52 2337.jpg,event,plentystock,6,-1,test
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 08013.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 27344.jpg,event,plentystock,6,-1,test
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 03693.jpg,event,plentystock,6,-1,val
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 18024.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 6075.jpg,event,offside,4,-1,val
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 2 04240.jpg,event,playercelebration,5,-1,test
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 2 06254.jpg,event,spectator,8,-1,val
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 24618.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\Portugal v Spain - 2018 FIFA World Cup Russia™ - MATCH 3 2523.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 2 06499.jpg,event,spectator,8,-1,test
C:\Users\Yannick\data\soccer\EventClasses\corner\World Cup 2018  All 19 Corner Kick Goals 4295.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\France v Argentina - 2018 FIFA World Cup Russia™ - Match 50 1875.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\France v Croatia - 2018 FIFA World Cup™ FINAL - HIGHLIGHTS 1426.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\Top 20 Famous Red Cards In Football 10844.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 2 01160.jpg,event,plentystock,6,-1,val
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 5976.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\Top 20 Famous Red Cards In Football 01051.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 1 32068.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 27304.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\red cards 2330.jpg,event,redc,7,-1,val
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 2 02267.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\Germany v Sweden - 2018 FIFA World Cup Russia™ - Match 27 2549.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 19450.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 28713.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\France v Argentina - 2018 FIFA World Cup Russia™ - Match 50 0645.jpg,event,gattempts,2,-1,val
C:\Users\Yannick\data\soccer\EventClasses\spectator\Uruguay v Portugal - 2018 FIFA World Cup Russia™ - Match 49 0026.jpg,event,spectator,8,-1,test
C:\Users\Yannick\data\soccer\EventClasses\corner\Top 10 Corner Kick Goals in Football ● Impossible Is Nothing 4137.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 09064.jpg,event,goal,3,-1,val
C:\Users\Yannick\data\soccer\EventClasses\redc\16 Yellow Cards and 4 Red Cards in a Single Game 6952.jpg,event,redc,7,-1,test
C:\Users\Yannick\data\soccer\EventClasses\corner\All 169 Goals scored in the World Cup 2018 - Part 2 10768.jpg,event,corner,0,-1,val
C:\Users\Yannick\data\soccer\EventClasses\gattempts\Croatia v Denmark - 2018 FIFA World Cup Russia™ - Match 52 0668.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\red cards 2367.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\Spain v Russia - 2018 FIFA World Cup Russia™ - Match 51 0899.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 28036.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\Spain v Russia - 2018 FIFA World Cup Russia™ - Match 51 1566.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\Uruguay v Portugal - 2018 FIFA World Cup Russia™ - Match 49 1009.jpg,event,gattempts,2,-1,test
C:\Users\Yannick\data\soccer\EventClasses\corner\World Cup 2018  All 19 Corner Kick Goals 3981.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\World Cup 2018  All 19 Corner Kick Goals 4271.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\Spain v Russia - 2018 FIFA World Cup Russia™ - Match 51 0206.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 28644.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 4905.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\Croatia v Denmark - 2018 FIFA World Cup Russia™ - Match 52 0672.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\TOP 10 GOALS - 2018 FIFA WORLD CUP RUSSIA (EXCLUSIVE) 1556.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\red cards 2253.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\France v Croatia - 2018 FIFA World Cup™ FINAL - HIGHLIGHTS 2327.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 2 01132.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\16 Yellow Cards and 4 Red Cards in a Single Game 6833.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\France v Croatia - 2018 FIFA World Cup™ FINAL - HIGHLIGHTS 1478.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\Top 15 Most Shocking Reactions To Red Card in Football 00343.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 1 23979.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 17896.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\Portugal v Spain - 2018 FIFA World Cup Russia™ - MATCH 3 0432.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\TOP 10 YELLOW CARDS That Must Be RED CARDS - Wild Moments 3994.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 1 24129.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 1 01185.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\Germany v Sweden - 2018 FIFA World Cup Russia™ - Match 27 2316.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\All 169 Goals scored in the World Cup 2018 - Part 1 15536.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\Croatia v Denmark - 2018 FIFA World Cup Russia™ - Match 52 0659.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 1582.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\10+ Shocking Red Cards in World Cup History 5965.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\16 Yellow Cards and 4 Red Cards in a Single Game 4027.jpg,event,yellowcard,9,-1,val
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\TOP 10 GOALS - 2018 FIFA WORLD CUP RUSSIA (EXCLUSIVE) 5744.jpg,event,playercelebration,5,-1,test
C:\Users\Yannick\data\soccer\EventClasses\corner\World Cup 2018  All 19 Corner Kick Goals 3018.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\16 Yellow Cards and 4 Red Cards in a Single Game 3203.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\TOP 10 YELLOW CARDS That Must Be RED CARDS - Wild Moments 2002.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\How Offside Works in Soccer 2930.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\Top 10 Corner Kick Goals in Football ● Impossible Is Nothing 2382.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\red cards 0995.jpg,event,redc,7,-1,test
C:\Users\Yannick\data\soccer\EventClasses\redc\red cards 3249.jpg,event,redc,7,-1,val
C:\Users\Yannick\data\soccer\EventClasses\freekick\France v Argentina - 2018 FIFA World Cup Russia™ - Match 50 1064.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\All Red Cards FIFA World Cup 2018_clip2 0107.jpg,event,redc,7,-1,val
C:\Users\Yannick\data\soccer\EventClasses\redc\red cards 2243.jpg,event,redc,7,-1,val
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 2 06278.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\All 169 Goals scored in the World Cup 2018 - Part 1 20802.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 1 27211.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\10+ Shocking Red Cards in World Cup History 0746.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\10+ Shocking Red Cards in World Cup History 5995.jpg,event,redc,7,-1,val
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\TOP 10 YELLOW CARDS That Must Be RED CARDS - Wild Moments 2029.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 23899.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 27800.jpg,event,goal,3,-1,val
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 5880.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\France v Croatia - 2018 FIFA World Cup™ FINAL - HIGHLIGHTS 0585.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 2 09343.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 26630.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\Portugal v Spain - 2018 FIFA World Cup Russia™ - MATCH 3 2558.jpg,event,playercelebration,5,-1,val
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 2 10249.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 10707.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\Top 10 Corner Kick Goals in Football ● Impossible Is Nothing 0719.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\Uruguay v Portugal - 2018 FIFA World Cup Russia™ - Match 49 0112.jpg,event,spectator,8,-1,test
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\Top 15 Most Shocking Reactions To Red Card in Football 00356.jpg,event,yellowcard,9,-1,test
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 1 23938.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\Spain v Russia - 2018 FIFA World Cup Russia™ - Match 51 0283.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\Uruguay v Portugal - 2018 FIFA World Cup Russia™ - Match 49 0307.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\Croatia v Denmark - 2018 FIFA World Cup Russia™ - Match 52 2169.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\Top 15 Most Shocking Reactions To Red Card in Football 02374.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\red cards 3225.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\Spain v Russia - 2018 FIFA World Cup Russia™ - Match 51 0396.jpg,event,freekick,1,-1,val
C:\Users\Yannick\data\soccer\EventClasses\corner\Top 10 Corner Kick Goals in Football ● Impossible Is Nothing 3408.jpg,event,corner,0,-1,test
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 10893.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 1 15953.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\Portugal v Spain - 2018 FIFA World Cup Russia™ - MATCH 3 2831.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 1 23741.jpg,event,spectator,8,-1,test
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\TOP 10 YELLOW CARDS That Must Be RED CARDS - Wild Moments 4566.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 19501.jpg,event,goal,3,-1,test
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 2 06494.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 22015.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\All 169 Goals scored in the World Cup 2018 - Part 2 08680.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\red cards 1775.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\Croatia v Denmark - 2018 FIFA World Cup Russia™ - Match 52 0653.jpg,event,gattempts,2,-1,test
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 8816.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 1 05555.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 1 00983.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 1 23728.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 06663.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 2 06296.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\16 Yellow Cards and 4 Red Cards in a Single Game 0263.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\World Cup 2018  All 19 Corner Kick Goals 2991.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 1 06435.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\Top 20 Famous Red Cards In Football 01071.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 1 13368.jpg,event,freekick,1,-1,test
C:\Users\Yannick\data\soccer\EventClasses\goal\All 169 Goals scored in the World Cup 2018 - Part 1 15254.jpg,event,goal,3,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\Germany v Sweden - 2018 FIFA World Cup Russia™ - Match 27 1346.jpg,event,gattempts,2,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 3450.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\Top 10 Free Kick Takers in Football 2016 17 01998.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\16 Yellow Cards and 4 Red Cards in a Single Game 0273.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\France v Croatia - 2018 FIFA World Cup™ FINAL - HIGHLIGHTS 1436.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\Spain v Russia - 2018 FIFA World Cup Russia™ - Match 51 0857.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\redc\red cards 1712.jpg,event,redc,7,-1,train
C:\Users\Yannick\data\soccer\EventClasses\corner\All 169 Goals scored in the World Cup 2018 - Part 1 06945.jpg,event,corner,0,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 2 06723.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\France v Croatia - 2018 FIFA World Cup™ FINAL - HIGHLIGHTS 2046.jpg,event,gattempts,2,-1,val
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 4894.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\16 Yellow Cards and 4 Red Cards in a Single Game 2483.jpg,event,yellowcard,9,-1,test
C:\Users\Yannick\data\soccer\EventClasses\offside\How Offside Works in Soccer 2900.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 13143.jpg,event,plentystock,6,-1,test
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 3501.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\Portugal v Spain - 2018 FIFA World Cup Russia™ - MATCH 3 0633.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 1 20537.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\How Offside Works in Soccer 0217.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\spectator\All 169 Goals scored in the World Cup 2018 - Part 1 32055.jpg,event,spectator,8,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\TOP 10 GOALS - 2018 FIFA WORLD CUP RUSSIA (EXCLUSIVE) 6482.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 1 18207.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\plentystock\All 169 Goals scored in the World Cup 2018 - Part 1 21998.jpg,event,plentystock,6,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\16 Yellow Cards and 4 Red Cards in a Single Game 1306.jpg,event,yellowcard,9,-1,train
C:\Users\Yannick\data\soccer\EventClasses\offside\Overview of Law 11 Offside 6053.jpg,event,offside,4,-1,train
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 2 11170.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\yellowcard\TOP 10 YELLOW CARDS That Must Be RED CARDS - Wild Moments 3290.jpg,event,yellowcard,9,-1,val
C:\Users\Yannick\data\soccer\EventClasses\freekick\All 169 Goals scored in the World Cup 2018 - Part 1 22415.jpg,event,freekick,1,-1,train
C:\Users\Yannick\data\soccer\EventClasses\playercelebration\All 169 Goals scored in the World Cup 2018 - Part 1 03467.jpg,event,playercelebration,5,-1,train
C:\Users\Yannick\data\soccer\EventClasses\gattempts\All 169 Goals scored in the World Cup 2018 - Part 1 15408.jpg,event,gattempts,2,-1,train
